counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(73)	73	5329	.01369863013698630136	.01369863013698630136
2	(0)	(93)	93	8649	.01075268817204301075	.02445131830902931211
3	(0)	(98)	98	9604	.01020408163265306122	.03465539994168237333
4	(0)	(99)	99	9801	.01010101010101010101	.04475641004269247434
5	(0)	(99)	99	9801	.01010101010101010101	.05485742014370257535
6	(0)	(99)	99	9801	.01010101010101010101	.06495843024471267636
7	(0)	(99)	99	9801	.01010101010101010101	.07505944034572277737
8	(0)	(99)	99	9801	.01010101010101010101	.08516045044673287838
9	(0)	(99)	99	9801	.01010101010101010101	.09526146054774297939
10	(0)	(99)	99	9801	.01010101010101010101	.10536247064875308040
11	(76),(77)	(99),(98)	44	61250	.00071836734693877551	.10608083799569185591
12	(76),(77)	(98),(94)	39	59517	.00065527496345581934	.10673611295914767525
13	(76),(77)	(94),(96)	37	58829	.00062894150843971510	.10736505446758739035
14	(76),(77)	(96),(98)	41	60209	.00068096131807537079	.10804601578566276114
15	(76),(77)	(98),(99)	44	61252	.00071834389081172859	.10876435967647448973
16	(76),(77)	(99),(99)	45	61601	.00073050762162951900	.10949486729810400873
17	(76),(77)	(99),(99)	45	61601	.00073050762162951900	.11022537491973352773
18	(76),(77)	(99),(99)	45	61601	.00073050762162951900	.11095588254136304673
19	(76),(77)	(99),(99)	45	61601	.00073050762162951900	.11168639016299256573
20	(76),(77)	(99),(99)	45	61601	.00073050762162951900	.11241689778462208473
21	(76),(76)	(99),(99)	46	61250	.00075102040816326530	.11316791819278535003
22	(76),(76)	(99),(99)	46	61250	.00075102040816326530	.11391893860094861533
23	(76),(76)	(99),(99)	46	61250	.00075102040816326530	.11466995900911188063
24	(76),(76)	(99),(98)	45	60901	.00073890412308500681	.11540886313219688744
25	(76),(76)	(98),(97)	43	60205	.00071422639315671455	.11612308952535360199
26	(76),(76)	(97),(95)	40	59170	.00067601825249281730	.11679910777784641929
27	(76),(76)	(95),(96)	39	58825	.00066298342541436464	.11746209120326078393
28	(76),(76)	(96),(96)	40	59168	.00067604110329908058	.11813813230655986451
29	(76),(76)	(96),(96)	40	59168	.00067604110329908058	.11881417340985894509
30	(76),(76)	(96),(96)	40	59168	.00067604110329908058	.11949021451315802567
31	(76),(76)	(96),(95)	39	58825	.00066298342541436464	.12015319793857239031
32	(76),(76)	(95),(94)	37	58141	.00063638396312412927	.12078958190169651958
33	(76),(76)	(94),(95)	37	58141	.00063638396312412927	.12142596586482064885
34	(76),(76)	(95),(97)	40	59170	.00067601825249281730	.12210198411731346615
35	(76),(76)	(97),(99)	44	60554	.00072662417016216930	.12282860828747563545
36	(76),(76)	(99),(99)	46	61250	.00075102040816326530	.12357962869563890075
37	(76),(76)	(99),(99)	46	61250	.00075102040816326530	.12433064910380216605
38	(76),(76)	(99),(99)	46	61250	.00075102040816326530	.12508166951196543135
39	(76),(76)	(99),(98)	45	60901	.00073890412308500681	.12582057363505043816
40	(76),(76)	(98),(97)	43	60205	.00071422639315671455	.12653480002820715271
41	(76),(76)	(97),(97)	42	59858	.00070166059674563132	.12723646062495278403
42	(76),(76)	(97),(97)	42	59858	.00070166059674563132	.12793812122169841535
43	(76),(76)	(97),(97)	42	59858	.00070166059674563132	.12863978181844404667
44	(76),(76)	(97),(96)	41	59513	.00068892510879975803	.12932870692724380470
45	(76),(76)	(96),(96)	40	59168	.00067604110329908058	.13000474803054288528
46	(76),(76)	(96),(97)	41	59513	.00068892510879975803	.13069367313934264331
47	(76),(76)	(97),(96)	41	59513	.00068892510879975803	.13138259824814240134
48	(76),(76)	(96),(96)	40	59168	.00067604110329908058	.13205863935144148192
49	(76),(76)	(96),(96)	40	59168	.00067604110329908058	.13273468045474056250
50	(75),(76)	(96),(97)	42	59170	.00070981916511745817	.13344449961985802067
51	(75),(76)	(97),(98)	44	59860	.00073504844637487470	.13417954806623289537
52	(75),(76)	(98),(99)	46	60554	.00075965254153317699	.13493920060776607236
53	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.13571094491409930169
54	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.13648268922043253102
55	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.13725443352676576035
56	(75),(76)	(99),(98)	46	60552	.00075967763244814374	.13801411115921390409
57	(75),(76)	(98),(98)	45	60205	.00074744622539656174	.13876155738461046583
58	(75),(76)	(98),(96)	43	59513	.00072253121166803891	.13948408859627850474
59	(75),(76)	(96),(97)	42	59170	.00070981916511745817	.14019390776139596291
60	(75),(76)	(97),(97)	43	59513	.00072253121166803891	.14091643897306400182
61	(75),(76)	(97),(96)	42	59168	.00070984315846403461	.14162628213152803643
62	(75),(76)	(96),(96)	41	58825	.00069698257543561410	.14232326470696365053
63	(75),(76)	(96),(96)	41	58825	.00069698257543561410	.14302024728239926463
64	(75),(76)	(96),(95)	40	58482	.00068397113641804315	.14370421841881730778
65	(75),(76)	(95),(97)	41	58829	.00069693518502779241	.14440115360384510019
66	(75),(76)	(97),(97)	43	59513	.00072253121166803891	.14512368481551313910
67	(75),(76)	(97),(98)	44	59860	.00073504844637487470	.14585873326188801380
68	(75),(76)	(98),(99)	46	60554	.00075965254153317699	.14661838580342119079
69	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.14739013010975442012
70	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.14816187441608764945
71	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.14893361872242087878
72	(75),(76)	(99),(98)	46	60552	.00075967763244814374	.14969329635486902252
73	(75),(76)	(98),(98)	45	60205	.00074744622539656174	.15044074258026558426
74	(75),(76)	(98),(97)	44	59858	.00073507300611447091	.15117581558638005517
75	(75),(76)	(97),(96)	42	59168	.00070984315846403461	.15188565874484408978
76	(75),(76)	(96),(96)	41	58825	.00069698257543561410	.15258264132027970388
77	(75),(76)	(96),(96)	41	58825	.00069698257543561410	.15327962389571531798
78	(75),(76)	(96),(96)	41	58825	.00069698257543561410	.15397660647115093208
79	(75),(76)	(96),(96)	41	58825	.00069698257543561410	.15467358904658654618
80	(75),(76)	(96),(96)	41	58825	.00069698257543561410	.15537057162202216028
81	(75),(76)	(96),(97)	42	59170	.00070981916511745817	.15608039078713961845
82	(75),(76)	(97),(97)	43	59513	.00072253121166803891	.15680292199880765736
83	(75),(76)	(97),(99)	45	60209	.00074739656861930940	.15755031856742696676
84	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.15832206287376019609
85	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.15909380718009342542
86	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.15986555148642665475
87	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.16063729579275988408
88	(75),(76)	(99),(98)	46	60552	.00075967763244814374	.16139697342520802782
89	(75),(76)	(98),(98)	45	60205	.00074744622539656174	.16214441965060458956
90	(75),(76)	(98),(97)	44	59858	.00073507300611447091	.16287949265671906047
91	(75),(76)	(97),(97)	43	59513	.00072253121166803891	.16360202386838709938
92	(75),(76)	(97),(97)	43	59513	.00072253121166803891	.16432455508005513829
93	(75),(76)	(97),(96)	42	59168	.00070984315846403461	.16503439823851917290
94	(75),(76)	(96),(96)	41	58825	.00069698257543561410	.16573138081395478700
95	(75),(76)	(96),(97)	42	59170	.00070981916511745817	.16644119997907224517
96	(75),(76)	(97),(95)	41	58825	.00069698257543561410	.16713818255450785927
97	(75),(76)	(95),(97)	41	58829	.00069693518502779241	.16783511773953565168
98	(75),(76)	(97),(97)	43	59513	.00072253121166803891	.16855764895120369059
99	(75),(76)	(97),(98)	44	59860	.00073504844637487470	.16929269739757856529
100	(75),(76)	(98),(99)	46	60554	.00075965254153317699	.17005234993911174228
101	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.17082409424544497161
102	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.17159583855177820094
103	(75),(76)	(99),(99)	47	60901	.00077174430633322933	.17236758285811143027
104	(75),(76)	(99),(98)	46	60552	.00075967763244814374	.17312726049055957401
105	(75),(76)	(98),(98)	45	60205	.00074744622539656174	.17387470671595613575
106	(75),(76)	(98),(97)	44	59858	.00073507300611447091	.17460977972207060666
