counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(73)	73	5329	.01369863013698630136	.01369863013698630136
2	(0)	(93)	93	8649	.01075268817204301075	.02445131830902931211
3	(0)	(98)	98	9604	.01020408163265306122	.03465539994168237333
4	(0)	(99)	99	9801	.01010101010101010101	.04475641004269247434
5	(0)	(99)	99	9801	.01010101010101010101	.05485742014370257535
6	(0)	(99)	99	9801	.01010101010101010101	.06495843024471267636
7	(0)	(99)	99	9801	.01010101010101010101	.07505944034572277737
8	(0)	(99)	99	9801	.01010101010101010101	.08516045044673287838
9	(0)	(99)	99	9801	.01010101010101010101	.09526146054774297939
10	(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array)	(99),(99),(98),(94),(96),(98),(99),(99),(99),(99),(99),(99),(99),(99),(99),(98),(97),(95),(96),(96),(96),(96),(95),(94),(95),(97),(99),(99),(99),(99),(98),(97),(97),(97),(97),(96),(96),(97),(96),(96),(96),(97),(98),(99),(99),(99),(99),(98),(98)	4776	465626	.01025715917925545394	.10551861972699843333
11	(93),(92),(93),(91),(93),(92),(91),(91)	(99),(98),(94),(96),(98),(99),(99),(99)	46	288064	.00015968673628082648	.10567830646327925981
12	(93),(92),(93),(91),(93),(92),(91),(91)	(98),(94),(96),(98),(99),(99),(99),(99)	46	288064	.00015968673628082648	.10583799319956008629
13	(93),(92),(93),(91),(93),(92),(91),(91)	(94),(96),(98),(99),(99),(99),(99),(99)	47	288439	.00016294606485253381	.10600093926441262010
14	(93),(92),(93),(91),(93),(92),(91),(91)	(96),(98),(99),(99),(99),(99),(99),(99)	52	290330	.00017910653394413253	.10618004579835675263
15	(93),(92),(93),(91),(93),(92),(91),(91)	(98),(99),(99),(99),(99),(99),(99),(99)	55	291471	.00018869801798463655	.10636874381634138918
16	(93),(92),(93),(91),(93),(92),(91),(91)	(99),(99),(99),(99),(99),(99),(99),(99)	56	291854	.00019187676029795719	.10656062057663934637
17	(93),(92),(93),(91),(93),(92),(91),(91)	(99),(99),(99),(99),(99),(99),(99),(99)	56	291854	.00019187676029795719	.10675249733693730356
18	(93),(92),(93),(91),(93),(92),(91),(91)	(99),(99),(99),(99),(99),(99),(99),(98)	55	291475	.00018869542842439317	.10694119276536169673
19	(93),(92),(93),(91),(93),(92),(91),(91)	(99),(99),(99),(99),(99),(99),(98),(97)	53	290719	.00018230662598591767	.10712349939134761440
20	(93),(92),(93),(91),(93),(92),(91),(91)	(99),(99),(99),(99),(99),(98),(97),(95)	49	289213	.00016942530245874148	.10729292469380635588
21	(92),(92),(92),(91),(92),(92),(91),(91)	(99),(99),(99),(99),(98),(97),(95),(96)	49	286929	.00017077395453230590	.10746369864833866178
22	(92),(92),(92),(91),(92),(92),(91),(91)	(99),(99),(99),(98),(97),(95),(96),(96)	46	285792	.00016095621990818497	.10762465486824684675
23	(92),(92),(92),(91),(92),(92),(91),(91)	(99),(99),(98),(97),(95),(96),(96),(96)	43	284657	.00015105899380658125	.10777571386205342800
24	(92),(92),(92),(91),(92),(92),(91),(91)	(99),(98),(97),(95),(96),(96),(96),(96)	40	283524	.00014108153101677459	.10791679539307020259
25	(92),(92),(92),(91),(92),(92),(91),(91)	(98),(97),(95),(96),(96),(96),(96),(95)	36	282012	.00012765414237692013	.10804444953544712272
26	(92),(92),(92),(91),(92),(92),(91),(91)	(97),(95),(96),(96),(96),(96),(95),(94)	32	280512	.00011407711613050422	.10815852665157762694
27	(92),(92),(92),(91),(92),(92),(91),(91)	(95),(96),(96),(96),(96),(95),(94),(95)	30	279760	.00010723477266228195	.10826576142423990889
28	(92),(92),(92),(91),(92),(92),(91),(91)	(96),(96),(96),(96),(95),(94),(95),(97)	32	280506	.00011407955623052626	.10837984098047043515
29	(92),(92),(92),(91),(92),(92),(91),(91)	(96),(96),(96),(95),(94),(95),(97),(99)	35	281637	.00012427344418524554	.10850411442465568069
30	(92),(92),(92),(91),(92),(92),(91),(91)	(96),(96),(95),(94),(95),(97),(99),(99)	38	282772	.00013438388525030766	.10863849830990598835
31	(92),(92),(92),(91),(92),(92),(91),(91)	(96),(95),(94),(95),(97),(99),(99),(99)	41	283907	.00014441348751527789	.10878291179742126624
32	(92),(92),(92),(91),(92),(92),(91),(91)	(95),(94),(95),(97),(99),(99),(99),(99)	44	285040	.00015436429974740387	.10893727609716867011
33	(92),(92),(92),(91),(92),(92),(91),(91)	(94),(95),(97),(99),(99),(99),(99),(98)	47	286169	.00016423861424542840	.10910151471141409851
34	(92),(92),(92),(91),(92),(92),(91),(91)	(95),(97),(99),(99),(99),(99),(98),(97)	50	287298	.00017403532220899553	.10927555003362309404
35	(92),(92),(92),(91),(92),(92),(91),(91)	(97),(99),(99),(99),(99),(98),(97),(97)	52	288052	.00018052296113201783	.10945607299475511187
36	(92),(92),(92),(91),(92),(92),(91),(91)	(99),(99),(99),(99),(98),(97),(97),(97)	52	288052	.00018052296113201783	.10963659595588712970
37	(92),(92),(92),(91),(92),(92),(91),(91)	(99),(99),(99),(98),(97),(97),(97),(97)	50	287294	.00017403774530620200	.10981063370119333170
38	(92),(92),(92),(91),(92),(92),(91),(91)	(99),(99),(98),(97),(97),(97),(97),(96)	47	286161	.00016424320574781329	.10997487690694114499
39	(92),(92),(92),(91),(92),(92),(91),(91)	(99),(98),(97),(97),(97),(97),(96),(96)	44	285026	.00015437188186340895	.11012924878880455394
40	(92),(92),(92),(91),(92),(92),(91),(91)	(98),(97),(97),(97),(97),(96),(96),(97)	42	284264	.00014774997889286015	.11027699876769741409
41	(92),(92),(92),(91),(92),(92),(91),(91)	(97),(97),(97),(97),(96),(96),(97),(96)	40	283508	.00014108949306545141	.11041808826076286550
42	(92),(92),(92),(91),(92),(92),(91),(91)	(97),(97),(97),(96),(96),(97),(96),(96)	39	283135	.00013774347925901071	.11055583174002187621
43	(92),(92),(92),(91),(92),(92),(91),(91)	(97),(97),(96),(96),(97),(96),(96),(96)	38	282758	.00013439053890606101	.11069022227892793722
44	(92),(92),(92),(91),(92),(92),(91),(91)	(97),(96),(96),(97),(96),(96),(96),(97)	38	282754	.00013439244007158165	.11082461471899951887
45	(92),(92),(92),(91),(92),(92),(91),(91)	(96),(96),(97),(96),(96),(96),(97),(98)	39	283131	.00013774542526251099	.11096236014426202986
46	(92),(92),(92),(91),(92),(92),(91),(91)	(96),(97),(96),(96),(96),(97),(98),(99)	42	284264	.00014774997889286015	.11111011012315489001
47	(92),(92),(92),(91),(92),(92),(91),(91)	(97),(96),(96),(96),(97),(98),(99),(99)	45	285399	.00015767399325155308	.11126778411640644309
48	(92),(92),(92),(91),(92),(92),(91),(91)	(96),(96),(96),(97),(98),(99),(99),(99)	47	286157	.00016424550159527811	.11143202961800172120
49	(92),(92),(92),(91),(92),(92),(91),(91)	(96),(96),(97),(98),(99),(99),(99),(99)	50	287292	.00017403895688010804	.11160606857488182924
50	(92),(92),(92),(91),(92),(91),(91),(91)	(96),(97),(98),(99),(99),(99),(99),(98)	53	287667	.00018424080620995804	.11179030938109178728
51	(92),(92),(92),(91),(92),(91),(91),(91)	(97),(98),(99),(99),(99),(99),(98),(98)	55	288425	.00019069082083730605	.11198100020192909333
52	(92),(92),(92),(91),(92),(91),(91),(91)	(98),(99),(99),(99),(99),(98),(98),(96)	54	288054	.00018746485034056114	.11216846505226965447
53	(92),(92),(92),(91),(92),(91),(91),(91)	(99),(99),(99),(99),(98),(98),(96),(97)	53	287677	.00018423440177699294	.11235269945404664741
54	(92),(92),(92),(91),(92),(91),(91),(91)	(99),(99),(99),(98),(98),(96),(97),(97)	51	286921	.00017774927593309656	.11253044872997974397
55	(92),(92),(92),(91),(92),(91),(91),(91)	(99),(99),(98),(98),(96),(97),(97),(96)	48	285784	.00016795901799960809	.11269840774797935206
