counter	predict	actual	diff	sqsum	frac	sum
1	(40),(41)	(43),(51)	13	15353	.00084674005080440304	.00084674005080440304
2	(40),(41)	(51),(49)	19	16381	.00115988034918503143	.00200662039998943447
3	(40),(41)	(49),(49)	17	16021	.00106110729667311653	.00306772769666255100
4	(40),(41)	(49),(52)	20	16570	.00120700060350030175	.00427472830016285275
5	(40),(41)	(52),(50)	21	16745	.00125410570319498357	.00552883400335783632
6	(40),(41)	(50),(47)	16	15844	.00100984599848523100	.00653868000184306732
7	(40),(41)	(47),(50)	16	15850	.00100946372239747634	.00754814372424054366
8	(40),(41)	(50),(51)	20	16564	.00120743781695242695	.00875558154119297061
9	(40),(41)	(51),(52)	22	16930	.00129946839929119905	.01005504994048416966
10	(40),(41)	(52),(51)	22	16928	.00129962192816635160	.01135467186865052126
11	(50),(51)	(51),(55)	5	21437	.00023324159164062135	.01158791346029114261
12	(40),(51)	(55),(58)	22	20906	.00105232947479192576	.01264024293508306837
13	(40),(51)	(58),(58)	25	21485	.00116360251338142890	.01380384544846449727
14	(40),(51)	(58),(56)	23	21053	.00109248088158457226	.01489632633004906953
15	(40),(51)	(56),(54)	19	20241	.00093868879996047626	.01583501513000954579
16	(50),(41)	(54),(58)	21	20617	.00101857690255614298	.01685359203256568877
17	(40),(51)	(58),(56)	23	21053	.00109248088158457226	.01794607291415026103
18	(40),(51)	(56),(62)	27	21985	.00122811007505117125	.01917418298920143228
19	(40),(51)	(62),(82)	53	28093	.00188659096572099811	.02106077395492243039
20	(40),(51)	(82),(52)	43	25493	.00168673753579413956	.02274751149071656995
21	(40),(51)	(52),(54)	15	19489	.00076966493919646980	.02351717642991303975
22	(40),(51)	(54),(63)	26	21832	.00119091242213264932	.02470808885204568907
23	(50),(61)	(63),(63)	15	28145	.00053295434357790015	.02524104319562358922
24	(40),(51)	(63),(58)	30	22490	.00133392618941751889	.02657496938504110811
25	(40),(51)	(58),(54)	21	20629	.00101798439090600610	.02759295377594711421
26	(40),(51)	(54),(63)	26	21832	.00119091242213264932	.02878386619807976353
27	(40),(51)	(63),(58)	30	22490	.00133392618941751889	.03011779238749728242
28	(40),(51)	(58),(68)	35	23765	.00147275405007363770	.03159054643757092012
29	(40),(51)	(68),(71)	48	26548	.00180804580382703028	.03339859224139795040
30	(60),(61)	(71),(74)	24	35386	.00067823432996100152	.03407682657135895192
31	(60),(61)	(74),(66)	19	34085	.00055742995452545107	.03463425652588440299
32	(60),(61)	(66),(59)	8	30276	.00026423569824283260	.03489849222412723559
33	(60),(61)	(59),(47)	15	25825	.00058083252662149080	.03547932475074872639
34	(60),(61)	(47),(42)	32	22058	.00145072082691087133	.03693004557765959772
